phi_est,theta_est,x_est,y_est,photons_est,phi_true,theta_true,x_true,y_true,photons_true,parallel_error,perpendicular_error
0.0208168089300074,0.3744896868689611,0.0004647645607634,0.000563071717266,2015.845680355236,0.0,0.3926990816987241,0.0,0.0,2000.0,0.00045294335415466396,0.0006940574775523965
0.0044426891129045,0.4264441040541404,0.0030676192473743,0.0001621566866603,1986.2369275618696,0.0,0.3926990816987241,0.0,0.0,2000.0,0.0030668685645007096,0.0014165120270282423
-0.0106213220967813,0.4113370170595223,0.0001738902122849,0.000161792254364,2021.6805710282429,0.0,0.3926990816987241,0.0,0.0,2000.0,0.00017559881921994945,0.00021782410997342328
0.1915962228741628,0.4262067347800264,0.0004865565301062,2.846334686631172e-05,2005.0367741127168,0.0698131700797731,0.3926990816987241,0.0,0.0,2000.0,0.00047223312118852554,0.00022706916452019466
0.0481814128827823,0.3931876741782014,4.514214476078709e-05,0.0040992175384267,1942.2037773939528,0.0698131700797731,0.3926990816987241,0.0,0.0,2000.0,-0.0001523399275659859,0.0038037118007692595
0.010151578273206,0.4190536772808561,0.0032060239037915,0.0007843136136251,1985.4363264427325,0.0698131700797731,0.3926990816987241,0.0,0.0,2000.0,0.003197896823262149,0.0020209693347424795
0.222455628928072,0.3677244478894352,0.0014283806899127,0.0004075119387437,1934.432478595755,0.1396263401595463,0.3926990816987241,0.0,0.0,2000.0,0.0013032759271539426,0.0008937616424025453
0.207997513521807,0.3730649891039486,0.0013439538916075,0.0001326583489923,1927.7290962386896,0.1396263401595463,0.3926990816987241,0.0,0.0,2000.0,0.0012875927554501004,0.0006133660190009605
0.1355836884140891,0.3869212065355241,0.0006451581085541,0.0001035093515781,2040.722384518352,0.1396263401595463,0.3926990816987241,0.0,0.0,2000.0,0.0006252460159185696,0.0003393007674527465
0.0911732844574639,0.4163336706942762,4.1757626611169074e-05,0.0027710040937834,2025.6176117136504,0.2094395102393195,0.3926990816987241,0.0,0.0,2000.0,-0.0002107074830104263,0.002551185987383646
0.2730665208140509,0.3481083373478602,0.0082994751372155,0.0001517848600962,1976.03667961214,0.2094395102393195,0.3926990816987241,0.0,0.0,2000.0,0.00795103235125435,0.0029737995295517875
0.1679297377561289,0.347066632226124,0.0004437819087824,0.0085689628195269,1990.7645275234852,0.2094395102393195,0.3926990816987241,0.0,0.0,2000.0,-0.0009946907035471326,0.008208982596185405
0.3245292967905519,0.3748554538874923,0.0029357021823845,0.0007558395688288,1995.6318533028116,0.2792526803190927,0.3926990816987241,0.0,0.0,2000.0,0.0025414521957223407,0.0017782266851220313
0.3362451002455541,0.4074030554666194,0.0048150344861868,0.0012975784740395,1953.944470955521,0.2792526803190927,0.3926990816987241,0.0,0.0,2000.0,0.0041172643781258985,0.0030992186095561303
0.3157581360268124,0.3971655213740255,0.0001191086003845,0.0022411564015844,1990.45030908044,0.2792526803190927,0.3926990816987241,0.0,0.0,2000.0,-0.0005827424507648466,0.002112779158880653
0.4027623173784282,0.4289098153857925,0.0002987362735656,0.0001823353317179,1931.1100594091447,0.3490658503988659,0.3926990816987241,0.0,0.0,2000.0,0.00020336356985161823,0.00029005766448011826
0.3000656323858264,0.3948708629948656,0.0014183371505141,6.816575743815263e-05,1945.0742936744648,0.3490658503988659,0.3926990816987241,0.0,0.0,2000.0,0.0013348130884696743,0.0006085388363386914
0.3470455083554706,0.4179801881171139,1.1428866236993046e-05,6.437266957719457e-05,2006.0552682073812,0.3490658503988659,0.3926990816987241,0.0,0.0,2000.0,-1.1146996615327367e-05,6.347002230140451e-05
0.4395864034491928,0.3521743401038993,0.0010159637740195,1.0544998432461553e-05,1990.307835719933,0.418879020478639,0.3926990816987241,0.0,0.0,2000.0,0.000914886230429714,0.0003603438457169646
0.3470323833013329,0.3766895227267728,0.0002355970146452,0.003410453422427,2042.6976275072516,0.418879020478639,0.3926990816987241,0.0,0.0,2000.0,-0.0009383723778753534,0.0032580008753964234
0.3904066166982132,0.3679498441797371,0.0007115004219452,0.0001541508377363,1984.113413313209,0.418879020478639,0.3926990816987241,0.0,0.0,2000.0,0.000599298808994562,0.0003997620408875988
0.5388217014128363,0.3963401987755547,1.3957718316293154e-06,7.193196353800153e-05,1982.6046168987152,0.4886921905584123,0.3926990816987241,0.0,0.0,2000.0,-3.571207829765773e-05,6.689462940147855e-05
0.4725531024634669,0.409577369377986,0.0004555159631308,4.6947571542625476e-08,2047.526177355129,0.4886921905584123,0.3926990816987241,0.0,0.0,2000.0,0.00040557419852936685,0.00018143940072915828
0.4959918206966383,0.4155951216585286,0.0018313701331106,0.0012391335858111,1995.355970464279,0.4886921905584123,0.3926990816987241,0.0,0.0,2000.0,0.0010209759138417084,0.0018730410803869896
6.944868873385015,0.3915167679967462,5.723960982050104e-06,0.000222997273958,2013.6657329409063,0.5585053606381855,0.3926990816987241,0.0,0.0,2000.0,-0.00013250381011936267,0.0002083075798636727
0.555498848579084,0.4233445396382344,0.0001232499049421,5.3907346198929046e-05,2015.984438955826,0.5585053606381855,0.3926990816987241,0.0,0.0,2000.0,7.628877080417529e-05,9.97809526939939e-05
0.4290968942847527,0.418166371900142,3.408754920216461e-05,0.0031680266577908,2048.340939809093,0.5585053606381855,0.3926990816987241,0.0,0.0,2000.0,-0.0012870594331785249,0.002908896372608455
0.5333323571788154,0.3748556790791232,0.000294818927163,0.000236104646422,1997.5855766972809,0.6283185307179586,0.3926990816987241,0.0,0.0,2000.0,0.00013383683579753846,0.0003276541326644719
