"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,3900.84420971671,4935.28062148763,21.31557825463557,158.3852126452271,66.30330438809,10.309582115968277,21.565616623402263,6.580533727507938
1.0,4040.6690728922995,3459.620018357352,10.784625069424706,112.11850123272394,69.40244110135731,9.005581479544912,17.211634667030108,2.3345710973001115
1.0,4642.608421075452,2863.7582114426154,18.348161269757533,118.52988855840995,69.36017885586236,9.521468352028807,15.006568187533269,6.065773254762133
1.0,4711.22292000526,639.4766451689405,0.22387256983670287,73.17211707171481,70.82788320634704,9.566941720419798,17.62822391537296,0.7901171494388721
1.0,5220.551323047822,306.46393567159976,46.08399935998007,686.491966457442,72.2551918108354,11.424030795542036,20.968483877912522,7.777491163056138
1.0,5894.517197527214,722.6734872784713,1.7950315085035158,85.83123371994874,71.72268098006099,8.254138390096923,12.932610627510021,0.7573454357506169
1.0,6033.7382394564975,3414.6500112134836,11.264567597986144,116.22616853312056,81.18241541563242,9.715330499173401,15.732076700263738,2.5784105184362884
1.0,6106.40960380907,4946.113018643483,50.25774809979683,969.6954481887312,76.73036403506028,14.931889651358343,34.71204767704753,8.490402551865621
1.0,6139.536909723853,3284.049257175304,10.161031115529171,102.39417777198179,81.46847433367189,9.625053722781782,14.680716632971464,2.403591527234436
1.0,6099.54359351221,4923.589079265142,134.2099129895599,24085.36312671383,7.272175289722743E-13,13.632452116347928,24.0077185110697,2.349577151920552
1.0,6315.47333282583,5153.526054924155,31.645860878970687,717.8366436479276,81.96412650598278,15.851725176798428,34.70122908799008,4.889445124858353
1.0,6559.861818686499,3445.2783921324767,55.431443584609845,7518.827004397363,91.44170499049329,20.663501672268822,31.623223572622138,1.9203353445696774
1.0,6690.192919102649,4738.554425299931,70.63140183652253,2238.69964330588,64.69430280989512,12.073872876822834,22.11659608508979,5.956221165396941
1.0,6798.881294878023,6270.679371290275,130.80097651079998,5.203915905445653E-8,68.85335471211678,15.745434276052091,33.829338657218244,1.109048193192075E12
