0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,0,1,0,1,1,0,1,1,3,0,1,1,1,0,0,0,1,0
0,0,1,0,0,2,1,4,3,2,3,1,0,7,1,0,0,1,0
0,0,0,2,1,1,5,2,4,1,1,3,3,2,0,0,0,0,0
1,1,0,3,3,4,7,10,5,6,3,12,4,3,0,2,0,0,0
1,0,4,1,3,2,8,8,6,5,8,6,10,6,1,2,0,0,0
0,0,2,1,5,12,8,10,17,23,25,9,8,3,6,2,0,1,0
0,2,1,1,8,13,6,19,40,54,37,38,7,4,6,2,0,3,0
0,0,3,0,9,6,8,46,54,30,54,57,20,8,3,1,1,2,2
1,3,2,2,12,6,19,39,47,7,43,63,24,4,9,2,0,1,0
2,1,4,3,8,5,12,57,74,47,53,56,14,6,3,3,2,1,1
1,2,4,1,8,5,13,19,37,54,44,22,9,6,1,1,1,0,1
2,0,4,1,1,6,6,5,11,13,7,8,5,5,1,1,2,0,0
0,1,0,1,2,1,8,5,12,5,3,3,2,7,2,1,2,0,0
0,0,0,0,2,1,1,4,2,7,4,8,4,0,0,1,1,1,0
2,0,0,1,1,0,2,3,1,0,3,3,3,3,0,1,0,1,0
0,0,1,0,1,3,1,2,2,1,2,3,1,0,0,0,0,0,0
0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,2,0,0,0
0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0
