phi_est,theta_est,x_est,y_est,photons_est,phi_true,theta_true,x_true,y_true,photons_true,parallel_error,perpendicular_error
1.46679408e-09,0.785398166,4.983476799999999e-18,4.99256149e-19,4.99256149e-19,0.0,0.7853981633974483,0.0,0.0,2000.0,4.983476799267694e-18,3.876877655925047e-18
-7.13151248e-09,0.785398165,1.183031e-16,1.20605029e-18,1.20605029e-18,0.0,0.7853981633974483,0.0,0.0,2000.0,1.1830310000860095e-16,8.450573071659273e-17
9.65419026e-10,0.785398157,7.28400871e-19,9.65686256e-18,9.65686256e-18,0.0,0.7853981633974483,0.0,0.0,2000.0,7.284008616770812e-19,7.343490236858266e-18
7.56893902e-10,0.785398166,6.11445704e-18,5.31729307e-19,5.31729307e-19,0.0,0.7853981633974483,0.0,0.0,2000.0,6.1144570395975375e-18,4.6995634452669416e-18
-1.13839052e-09,0.785398166,1.21903529e-16,4.74065195e-16,4.74065195e-16,0.0,0.7853981633974483,0.0,0.0,2000.0,1.2190352953967134e-16,4.214135254674172e-16
-3.21623415e-09,0.785398156,8.344495319999999e-17,6.39755431e-17,6.39755431e-17,0.0,0.7853981633974483,0.0,0.0,2000.0,8.344495340576032e-17,1.04242032517776e-16
-4.61997439e-09,0.785398152,1.14794695e-16,3.06736276e-20,3.06736276e-20,0.0,0.7853981633974483,0.0,0.0,2000.0,1.147946950001417e-16,8.119379588391332e-17
-1.35358083e-08,0.785398165,2.22742614e-17,4.41299838e-18,4.41299838e-18,0.0,0.7853981633974483,0.0,0.0,2000.0,2.2274261459733496e-17,1.887074238196495e-17
-3.37217028e-09,0.785398163,5.84176757e-19,3.58440462e-17,3.58440462e-17,0.0,0.7853981633974483,0.0,0.0,2000.0,5.841768778722273e-19,2.575864348937954e-17
3.78239272e-09,0.785398157,2.12501461e-17,1.45685075e-16,1.45685075e-16,0.0,0.7853981633974483,0.0,0.0,2000.0,2.125014554896183e-17,1.180410274215893e-16
-4.3265718e-09,0.785398154,1.2090334399999998e-17,4.9596618999999995e-18,4.9596618999999995e-18,0.0,0.7853981633974483,0.0,0.0,2000.0,1.2090334421458332e-17,1.205616795555223e-17
3.4919925e-09,0.785398166,4.5660414099999994e-18,2.98793261e-16,2.98793261e-16,0.0,0.7853981633974483,0.0,0.0,2000.0,4.566040366616173e-18,2.1450741932867052e-16
1.3200216e-08,0.78539817,2.04578558e-20,2.57345115e-16,2.57345115e-16,0.0,0.7853981633974483,0.0,0.0,2000.0,2.0454458788895453e-20,1.8198494060892267e-16
5.37239336e-09,0.785398162,3.59985045e-19,5.66296902e-20,5.66296902e-20,0.0,0.7853981633974483,0.0,0.0,2000.0,3.59985044695763e-19,2.9459110410239867e-19
