27870,9540,29283,103415,177829,192139,173286,158181,159527,161780,158437,160680,181493,194335,151735,68707,14026,14643,37675
9252,38078,135165,194643,164430,181738,320704,498659,619859,649309,581628,429523,253053,160004,180593,182631,92212,16665,15026
32248,138535,191784,156876,310701,677418,941752,998147,972591,962936,983859,993481,863035,524749,211147,166311,188809,89777,13253
113580,193719,157223,391981,863299,981466,848881,921264,1146288,1218494,1057793,859623,894970,990492,684697,241683,167319,180121,62973
184433,159584,340423,875491,932345,912354,1786083,2936427,3532400,3640430,3367928,2508313,1330627,839058,988558,669343,200623,184770,143156
187973,205847,740463,965583,938049,2363051,3796054,3614866,3115100,3021942,3269752,3830676,3397192,1616899,841090,986365,476368,157577,190428
162507,403334,980818,840026,1991981,3833611,3137906,3954256,7818372,9273766,6188608,3106988,3603388,3318451,1228965,921413,805098,216469,188768
162051,627328,976867,1061988,3268085,3442903,4380715,15246596,25622075,27633814,22415492,9897957,3028245,3875777,2238979,839614,969556,350038,170211
186349,769726,913174,1484465,3811252,2958422,10158643,27175005,26423556,21643822,29368754,20971167,5112797,3481234,3029810,923284,1000339,469393,159517
200055,816395,889197,1687716,3881897,3018848,13524566,29546957,15888223,5134503,24820578,25224196,6841614,3267367,3285653,996673,998174,516750,157511
187275,775405,910167,1503785,3819502,2955303,10467323,27525536,25743120,20478222,29177590,21411658,5257240,3468787,3056312,928956,999817,473901,159813
162724,637091,972541,1081993,3317778,3400165,4610056,16060845,26384972,28219371,23291049,10511520,3068753,3868634,2292416,842110,973868,357051,169068
161102,416314,985185,839938,2068030,3853862,3083767,4242468,8574221,10151231,6784657,3202761,3548615,3390086,1274458,914460,818757,221895,188101
187014,213737,760809,957547,966177,2475158,3831257,3541729,3043786,2974929,3183944,3787517,3483288,1701583,839591,989724,496847,158685,191822
186577,159060,359883,895018,919905,942713,1905177,3065842,3627646,3721190,3481824,2647939,1417574,842403,986885,694293,210064,182568,146495
118398,193393,158484,417175,885836,971956,844306,961962,1226858,1307771,1124597,876782,881707,993553,713679,257672,164750,182475,66488
35266,143764,190839,159094,335791,711329,959262,995831,958871,947126,973982,997277,888638,557974,225278,163383,189923,95510,14480
8855,42103,141975,193564,162949,192290,349412,538374,660687,689152,621004,466624,274256,163165,177634,185551,98619,18620,14088
26883,9166,32515,111212,181664,191489,167715,157182,163492,166912,160652,159021,177922,194471,158609,75080,15929,13548,36643
